id,target,creator,description,c1_type,c1_match,c1_value
https://geoconnex.us/ref/places/0651294,https://info.geoconnex.us/collections/places/items/0651294,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/0651294?f=${C:f:1}
https://geoconnex.us/ref/places/0653182,https://info.geoconnex.us/collections/places/items/0653182,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/0653182?f=${C:f:1}
https://geoconnex.us/ref/places/0147740,https://info.geoconnex.us/collections/places/items/0147740,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/0147740?f=${C:f:1}
https://geoconnex.us/ref/places/5348225,https://info.geoconnex.us/collections/places/items/5348225,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/5348225?f=${C:f:1}
https://geoconnex.us/ref/places/5345495,https://info.geoconnex.us/collections/places/items/5345495,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/5345495?f=${C:f:1}
https://geoconnex.us/ref/places/1761639,https://info.geoconnex.us/collections/places/items/1761639,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/1761639?f=${C:f:1}
https://geoconnex.us/ref/places/3646998,https://info.geoconnex.us/collections/places/items/3646998,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/3646998?f=${C:f:1}
https://geoconnex.us/ref/places/2149116,https://info.geoconnex.us/collections/places/items/2149116,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/2149116?f=${C:f:1}
https://geoconnex.us/ref/places/3933740,https://info.geoconnex.us/collections/places/items/3933740,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/3933740?f=${C:f:1}
https://geoconnex.us/ref/places/3148270,https://info.geoconnex.us/collections/places/items/3148270,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/3148270?f=${C:f:1}
https://geoconnex.us/ref/places/4062550,https://info.geoconnex.us/collections/places/items/4062550,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/4062550?f=${C:f:1}
https://geoconnex.us/ref/places/2726828,https://info.geoconnex.us/collections/places/items/2726828,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/2726828?f=${C:f:1}
https://geoconnex.us/ref/places/2709280,https://info.geoconnex.us/collections/places/items/2709280,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/2709280?f=${C:f:1}
https://geoconnex.us/ref/places/3882380,https://info.geoconnex.us/collections/places/items/3882380,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/3882380?f=${C:f:1}
https://geoconnex.us/ref/places/4607740,https://info.geoconnex.us/collections/places/items/4607740,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/4607740?f=${C:f:1}
https://geoconnex.us/ref/places/4211616,https://info.geoconnex.us/collections/places/items/4211616,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/4211616?f=${C:f:1}
https://geoconnex.us/ref/places/2877640,https://info.geoconnex.us/collections/places/items/2877640,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/2877640?f=${C:f:1}
https://geoconnex.us/ref/places/1243400,https://info.geoconnex.us/collections/places/items/1243400,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/1243400?f=${C:f:1}
https://geoconnex.us/ref/places/1249905,https://info.geoconnex.us/collections/places/items/1249905,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/1249905?f=${C:f:1}
https://geoconnex.us/ref/places/1260325,https://info.geoconnex.us/collections/places/items/1260325,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/1260325?f=${C:f:1}
https://geoconnex.us/ref/places/1558775,https://info.geoconnex.us/collections/places/items/1558775,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/1558775?f=${C:f:1}
https://geoconnex.us/ref/places/0472560,https://info.geoconnex.us/collections/places/items/0472560,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/0472560?f=${C:f:1}
https://geoconnex.us/ref/places/3035631,https://info.geoconnex.us/collections/places/items/3035631,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/3035631?f=${C:f:1}
https://geoconnex.us/ref/places/2424825,https://info.geoconnex.us/collections/places/items/2424825,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/2424825?f=${C:f:1}
https://geoconnex.us/ref/places/0625534,https://info.geoconnex.us/collections/places/items/0625534,kyle.onda@duke.edu,Census places reference geographies,QueryString,f=.*,https://info.geoconnex.us/collections/places/items/0625534?f=${C:f:1}
