id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_228-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_228-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_228-well_1,41.29055,-80.1506,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_228-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_229-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_229-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_229-well_1,41.283116,-80.163566,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_229-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_230-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_230-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_230-well_1,41.2932,-80.1519,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_230-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_231-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_231-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_231-well_1,41.290367,-80.155583,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_231-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_232-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_232-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_232-well_1,41.290917,-80.153483,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_232-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_233-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_233-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_233-well_1,41.279778,-80.149472,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_233-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_234-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_234-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_234-well_1,41.279722,-80.149333,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_234-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_237-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_237-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_237-well_1,41.284056,-80.150083,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_237-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_238-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_238-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_238-well_1,41.285878,-80.163158,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_238-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_214_b-spring_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_214_b-spring_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_214_b-spring_1,41.2848966,-80.1505189,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_214_b-spring_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_245-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_245-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jackson_245-well_1,41.270136,-80.148932,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jackson_245-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_067-well_3,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_067-well_3,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jefferson_067-well_3,41.27577971,-80.28710138,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_067-well_3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_068-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_068-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jefferson_068-well_1,41.29403509,-80.2888992,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_068-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_069-well_1,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_069-well_1,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jefferson_069-well_1,41.295904,-80.2902001,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_069-well_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-spring_2,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-spring_2,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jefferson_070-spring_2,41.29438186,-80.29961522,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-spring_2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-well_3,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-well_3,acastronova@cuahsi.org,PADEP_Predrill_Mercer-Jefferson_070-well_3,41.29411064,-80.29994795,QueryString,f?=.*,http://selfie.cuahsi.org/ShaleNetworkODM/PADEP_Predrill_Mercer-Jefferson_070-well_3?f=${C:f:1}
