id,target,creator,description,c1_type,c1_match,c1_value
https://geoconnex.us/ref/pws/MA2286025,https://info.geoconnex.us/collections/pws/items/MA2286025,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/MA2286025?f=${C:f:1}
https://geoconnex.us/ref/pws/MI1920623,https://info.geoconnex.us/collections/pws/items/MI1920623,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/MI1920623?f=${C:f:1}
https://geoconnex.us/ref/pws/NY1918042,https://info.geoconnex.us/collections/pws/items/NY1918042,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/NY1918042?f=${C:f:1}
https://geoconnex.us/ref/pws/NY4118161,https://info.geoconnex.us/collections/pws/items/NY4118161,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/NY4118161?f=${C:f:1}
https://geoconnex.us/ref/pws/NC0190493,https://info.geoconnex.us/collections/pws/items/NC0190493,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/NC0190493?f=${C:f:1}
https://geoconnex.us/ref/pws/WI1110325,https://info.geoconnex.us/collections/pws/items/WI1110325,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/WI1110325?f=${C:f:1}
https://geoconnex.us/ref/pws/WI7371510,https://info.geoconnex.us/collections/pws/items/WI7371510,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/WI7371510?f=${C:f:1}
https://geoconnex.us/ref/pws/NC0442574,https://info.geoconnex.us/collections/pws/items/NC0442574,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/NC0442574?f=${C:f:1}
https://geoconnex.us/ref/pws/NJ0241300,https://info.geoconnex.us/collections/pws/items/NJ0241300,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/NJ0241300?f=${C:f:1}
https://geoconnex.us/ref/pws/MI0120211,https://info.geoconnex.us/collections/pws/items/MI0120211,kyle.onda@duke.edu,Public Water Systems,QueryString,f=.*,https://info.geoconnex.us/collections/pws/items/MI0120211?f=${C:f:1}
